INTERVAL;M_DATE;PRICE_ZONE_ID;POWER_SYS_ID;E_USE_FACT
19;15.01.2016 0:00:00;1;630000;33845
20;15.01.2016 0:00:00;1;630000;33041
21;15.01.2016 0:00:00;1;630000;31758
22;15.01.2016 0:00:00;1;630000;31235
23;15.01.2016 0:00:00;1;630000;30690
0;16.01.2016 0:00:00;1;630000;30465
1;16.01.2016 0:00:00;1;630000;30589
2;16.01.2016 0:00:00;1;630000;30648
3;16.01.2016 0:00:00;1;630000;30598
4;16.01.2016 0:00:00;1;630000;30975
5;16.01.2016 0:00:00;1;630000;31757
6;16.01.2016 0:00:00;1;630000;32552
7;16.01.2016 0:00:00;1;630000;33244
8;16.01.2016 0:00:00;1;630000;33530
9;16.01.2016 0:00:00;1;630000;33206
10;16.01.2016 0:00:00;1;630000;32973
11;16.01.2016 0:00:00;1;630000;32876
12;16.01.2016 0:00:00;1;630000;32627
13;16.01.2016 0:00:00;1;630000;32704
14;16.01.2016 0:00:00;1;630000;33369
15;16.01.2016 0:00:00;1;630000;34273
16;16.01.2016 0:00:00;1;630000;34422
17;16.01.2016 0:00:00;1;630000;33941
18;16.01.2016 0:00:00;1;630000;33635
19;16.01.2016 0:00:00;1;630000;33337
20;16.01.2016 0:00:00;1;630000;32770
21;16.01.2016 0:00:00;1;630000;31714
22;16.01.2016 0:00:00;1;630000;31175
23;16.01.2016 0:00:00;1;630000;30456
0;17.01.2016 0:00:00;1;630000;30316
1;17.01.2016 0:00:00;1;630000;30221
2;17.01.2016 0:00:00;1;630000;30087
3;17.01.2016 0:00:00;1;630000;30254
4;17.01.2016 0:00:00;1;630000;30975
5;17.01.2016 0:00:00;1;630000;31242
6;17.01.2016 0:00:00;1;630000;31839
7;17.01.2016 0:00:00;1;630000;32608
8;17.01.2016 0:00:00;1;630000;33097
9;17.01.2016 0:00:00;1;630000;33241
10;17.01.2016 0:00:00;1;630000;32888
11;17.01.2016 0:00:00;1;630000;32831
12;17.01.2016 0:00:00;1;630000;32766
13;17.01.2016 0:00:00;1;630000;32679
14;17.01.2016 0:00:00;1;630000;33489
15;17.01.2016 0:00:00;1;630000;34407
16;17.01.2016 0:00:00;1;630000;34596
17;17.01.2016 0:00:00;1;630000;34085
18;17.01.2016 0:00:00;1;630000;34007
19;17.01.2016 0:00:00;1;630000;33365
20;17.01.2016 0:00:00;1;630000;32788
21;17.01.2016 0:00:00;1;630000;31867
22;17.01.2016 0:00:00;1;630000;30968
23;17.01.2016 0:00:00;1;630000;30449
0;18.01.2016 0:00:00;1;630000;30213
1;18.01.2016 0:00:00;1;630000;30385
2;18.01.2016 0:00:00;1;630000;30482
3;18.01.2016 0:00:00;1;630000;31075
4;18.01.2016 0:00:00;1;630000;32415
5;18.01.2016 0:00:00;1;630000;33416
6;18.01.2016 0:00:00;1;630000;34663
7;18.01.2016 0:00:00;1;630000;35261
8;18.01.2016 0:00:00;1;630000;35071
9;18.01.2016 0:00:00;1;630000;34635
10;18.01.2016 0:00:00;1;630000;34545
11;18.01.2016 0:00:00;1;630000;34503
12;18.01.2016 0:00:00;1;630000;34351
13;18.01.2016 0:00:00;1;630000;34293
14;18.01.2016 0:00:00;1;630000;34269
15;18.01.2016 0:00:00;1;630000;35318
16;18.01.2016 0:00:00;1;630000;35385
17;18.01.2016 0:00:00;1;630000;34979
18;18.01.2016 0:00:00;1;630000;34653
19;18.01.2016 0:00:00;1;630000;34122
20;18.01.2016 0:00:00;1;630000;33059
21;18.01.2016 0:00:00;1;630000;31942
22;18.01.2016 0:00:00;1;630000;31287
23;18.01.2016 0:00:00;1;630000;30831
0;19.01.2016 0:00:00;1;630000;30538
1;19.01.2016 0:00:00;1;630000;30564
2;19.01.2016 0:00:00;1;630000;30512
3;19.01.2016 0:00:00;1;630000;30989
4;19.01.2016 0:00:00;1;630000;32406
5;19.01.2016 0:00:00;1;630000;33511
6;19.01.2016 0:00:00;1;630000;34538
7;19.01.2016 0:00:00;1;630000;34643
8;19.01.2016 0:00:00;1;630000;34540
9;19.01.2016 0:00:00;1;630000;34209
10;19.01.2016 0:00:00;1;630000;34160
11;19.01.2016 0:00:00;1;630000;34058
12;19.01.2016 0:00:00;1;630000;34026
13;19.01.2016 0:00:00;1;630000;34203
14;19.01.2016 0:00:00;1;630000;34245
15;19.01.2016 0:00:00;1;630000;34882
16;19.01.2016 0:00:00;1;630000;34967
17;19.01.2016 0:00:00;1;630000;34590
18;19.01.2016 0:00:00;1;630000;34323
19;19.01.2016 0:00:00;1;630000;33706
20;19.01.2016 0:00:00;1;630000;32720
21;19.01.2016 0:00:00;1;630000;31702
22;19.01.2016 0:00:00;1;630000;31147
23;19.01.2016 0:00:00;1;630000;30561
0;20.01.2016 0:00:00;1;630000;30269
1;20.01.2016 0:00:00;1;630000;30036
2;20.01.2016 0:00:00;1;630000;29930
3;20.01.2016 0:00:00;1;630000;30415
4;20.01.2016 0:00:00;1;630000;31895
5;20.01.2016 0:00:00;1;630000;33066
6;20.01.2016 0:00:00;1;630000;34051
7;20.01.2016 0:00:00;1;630000;34272
8;20.01.2016 0:00:00;1;630000;34430
9;20.01.2016 0:00:00;1;630000;34054
10;20.01.2016 0:00:00;1;630000;33896
11;20.01.2016 0:00:00;1;630000;33843
12;20.01.2016 0:00:00;1;630000;33869
13;20.01.2016 0:00:00;1;630000;33740
14;20.01.2016 0:00:00;1;630000;33926
15;20.01.2016 0:00:00;1;630000;34490
16;20.01.2016 0:00:00;1;630000;34634
17;20.01.2016 0:00:00;1;630000;34313
18;20.01.2016 0:00:00;1;630000;34140
19;20.01.2016 0:00:00;1;630000;33376
20;20.01.2016 0:00:00;1;630000;32531
21;20.01.2016 0:00:00;1;630000;31569
22;20.01.2016 0:00:00;1;630000;30706
23;20.01.2016 0:00:00;1;630000;30332
0;21.01.2016 0:00:00;1;630000;30095
1;21.01.2016 0:00:00;1;630000;29985
2;21.01.2016 0:00:00;1;630000;30028
3;21.01.2016 0:00:00;1;630000;30524
4;21.01.2016 0:00:00;1;630000;31627
5;21.01.2016 0:00:00;1;630000;32990
6;21.01.2016 0:00:00;1;630000;34073
7;21.01.2016 0:00:00;1;630000;34183
8;21.01.2016 0:00:00;1;630000;34243
9;21.01.2016 0:00:00;1;630000;33918
10;21.01.2016 0:00:00;1;630000;33848
11;21.01.2016 0:00:00;1;630000;33830
12;21.01.2016 0:00:00;1;630000;33606
13;21.01.2016 0:00:00;1;630000;33677
14;21.01.2016 0:00:00;1;630000;33945
15;21.01.2016 0:00:00;1;630000;34950
16;21.01.2016 0:00:00;1;630000;35059
17;21.01.2016 0:00:00;1;630000;34408
18;21.01.2016 0:00:00;1;630000;34051
19;21.01.2016 0:00:00;1;630000;33497
20;21.01.2016 0:00:00;1;630000;32619
21;21.01.2016 0:00:00;1;630000;31836
22;21.01.2016 0:00:00;1;630000;30949
23;21.01.2016 0:00:00;1;630000;30496
0;22.01.2016 0:00:00;1;630000;30193
1;22.01.2016 0:00:00;1;630000;30201
2;22.01.2016 0:00:00;1;630000;30359
3;22.01.2016 0:00:00;1;630000;30951
4;22.01.2016 0:00:00;1;630000;31882
5;22.01.2016 0:00:00;1;630000;33443
6;22.01.2016 0:00:00;1;630000;34620
7;22.01.2016 0:00:00;1;630000;34441
8;22.01.2016 0:00:00;1;630000;34486
9;22.01.2016 0:00:00;1;630000;34101
10;22.01.2016 0:00:00;1;630000;33942
11;22.01.2016 0:00:00;1;630000;33894
12;22.01.2016 0:00:00;1;630000;33618
13;22.01.2016 0:00:00;1;630000;33524
14;22.01.2016 0:00:00;1;630000;33823
15;22.01.2016 0:00:00;1;630000;34704
